Traceback (most recent call last):
  File "/Users/dattakambagi/Desktop/App/server.py", line 142, in <module>
 [24/Sep/2026 10:02:20] HEAD / HTTP/1.1 - 200
[24/Sep/2026 10:03:12] HEAD / HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/taj_bawdi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/gagan_mahal_photo_1.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/asar_mahal_pic_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/shivagiri.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/jod_gumbaz.png HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/citadel_moat_water_trench.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/04_Sangeeth_Mahal_Toravi.png HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/25_Shri_Dattatreya_Temple_Chattaraki_Chalukyan_Entrance_Steps.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/upli_burj.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/03_Shri_Narasimha_Temple_Toravi_Entrance.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:05:41] GET /assets/assets/images/explore/mulk_e_maidan_biggest_cannon.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:42] GET /assets/assets/images/explore/jamiya_masjid_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:42] GET /assets/assets/images/explore/barah_kaman.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:44] GET /assets/assets/images/branding/karnataka_tourism_logo.png HTTP/1.1 - 200
[24/Sep/2026 10:05:44] GET /assets/assets/images/explore/barah_kaman.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:44] GET /assets/assets/routes/one_day/one_day_vijayapura_route.png HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/25_Shri_Dattatreya_Temple_Chattaraki_Chalukyan_Entrance_Steps.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/summer_palace_kumatagi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/archaeological_museum_02.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/taj_bawdi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/gagan_mahal_photo_1.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/asar_mahal_pic_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/shivagiri.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/jod_gumbaz.png HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/04_Sangeeth_Mahal_Toravi.png HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/jamiya_masjid_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/upli_burj.jpg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/03_Shri_Narasimha_Temple_Toravi_Entrance.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:05:47] GET /assets/assets/images/explore/mulk_e_maidan_biggest_cannon.jpg HTTP/1.1 - 200
[24/Sep/2026 10:08:00] GET /assets/assets/images/branding/karnataka_tourism_logo.png HTTP/1.1 - 200
[24/Sep/2026 10:08:00] GET /assets/assets/routes/one_day/one_day_vijayapura_route.png HTTP/1.1 - 200
[24/Sep/2026 10:08:35] HEAD /assets/assets/images/explore/ainapur_tomb.png HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET / HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET /flutter_bootstrap.js HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET /manifest.json HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET /main.dart.js HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET /favicon.png HTTP/1.1 - 200
[24/Sep/2026 10:11:03] GET /icons/Icon-192.png HTTP/1.1 - 200
[24/Sep/2026 10:11:04] GET /assets/FontManifest.json HTTP/1.1 - 200
[24/Sep/2026 10:11:04] GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1 - 200
[24/Sep/2026 10:11:04] GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1 - 200
[24/Sep/2026 10:11:05] GET /assets/AssetManifest.bin.json HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/branding/vijayapura_tourism_logo.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/branding/karnataka_tourism_logo.png HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/branding/bldeacet_logo.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/explore/golgumbaz_2_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/explore/ibrahim_rouza_1_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/images/explore/barah_kaman.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:06] GET /assets/assets/routes/one_day/one_day_vijayapura_route.png HTTP/1.1 - 200
[24/Sep/2026 10:11:12] GET /assets/assets/images/branding/vijayapura_tourism_logo.jpg HTTP/1.1 - 200
[24/Sep/2026 10:11:12] GET /assets/assets/images/branding/karnataka_tourism_logo.png HTTP/1.1 - 200
[24/Sep/2026 10:11:12] GET /assets/assets/images/branding/bldeacet_logo.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:49] GET /assets/assets/routes/one_day/one_day_vijayapura_route.png HTTP/1.1 - 200
[24/Sep/2026 10:12:49] GET /assets/assets/images/explore/barah_kaman.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:49] GET /assets/assets/images/explore/ibrahim_rouza_1_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:52] GET /assets/assets/images/explore/sri_basaveshwara_temple_basavana_bagewadi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:52] GET /assets/assets/images/explore/mulk_e_maidan_biggest_cannon.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:52] GET /assets/assets/images/explore/jamiya_masjid_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:52] GET /assets/assets/images/explore/taj_bawdi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/shivagiri.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/asar_mahal_pic_by_ramesh_chavan.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/gagan_mahal_photo_1.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/citadel_moat_water_trench.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET / HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/jod_gumbaz.png HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/04_Sangeeth_Mahal_Toravi.png HTTP/1.1 - 200
[24/Sep/2026 10:12:53] GET /assets/assets/images/explore/03_Shri_Narasimha_Temple_Toravi_Entrance.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:12:54] GET /assets/assets/images/explore/upli_burj.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:54] GET /assets/assets/images/explore/mehtar_mahal_2.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:54] GET /assets/assets/images/explore/almatti_dam_site_view_1.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:54] GET /assets/assets/images/explore/archaeological_museum_02.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:55] GET /assets/assets/images/explore/ainapur_tomb.png HTTP/1.1 - 200
[24/Sep/2026 10:12:55] GET /assets/assets/images/explore/jahan_begum_tomb.png HTTP/1.1 - 200
[24/Sep/2026 10:12:55] GET /assets/assets/images/explore/summer_palace_kumatagi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:58] GET /assets/assets/images/explore/25_Shri_Dattatreya_Temple_Chattaraki_Chalukyan_Entrance_Steps.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:12:58] GET /assets/assets/images/explore/05_Shri_Lakshmi_Temple_Toravi_Premises.png HTTP/1.1 - 200
[24/Sep/2026 10:12:59] GET /assets/assets/images/explore/upli_burj.jpg HTTP/1.1 - 200
[24/Sep/2026 10:12:59] GET /assets/assets/images/explore/03_Shri_Narasimha_Temple_Toravi_Entrance.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:12:59] GET /assets/assets/images/explore/04_Sangeeth_Mahal_Toravi.png HTTP/1.1 - 200
[24/Sep/2026 10:13:00] GET /assets/assets/images/explore/jod_gumbaz.png HTTP/1.1 - 200
[24/Sep/2026 10:13:01] GET /assets/assets/images/explore/citadel_moat_water_trench.jpg HTTP/1.1 - 200
[24/Sep/2026 10:13:02] GET /assets/assets/images/explore/gagan_mahal_photo_1.jpg HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/archaeological_museum_02.jpg HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/ainapur_tomb.png HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/jahan_begum_tomb.png HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/summer_palace_kumatagi.jpg HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/25_Shri_Dattatreya_Temple_Chattaraki_Chalukyan_Entrance_Steps.jpeg HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/05_Shri_Lakshmi_Temple_Toravi_Premises.png HTTP/1.1 - 200
[24/Sep/2026 10:13:03] GET /assets/assets/images/explore/06_Shri_Daridevar_Temple_Kanamadi_View_1.png HTTP/1.1 - 200
